language,term,system,truth,score
fr,small wooden huts provide little protection against earthquakes on their own but are sometimes safer as they do not kill people when they collapse,petite cabane en bois,"Les petites huttes en bois à elles seules assurent peu de protection contre les séismes, mais sont parfois plus sûres car elles ne tuent personne lorsqu'elles s'effondrent.",0.17
fr,brick cottage,maison en briques,Résidence en briques,0.70
fr,brick cottages provide better protection against earthquakes but its advisable to build additional defences,"Les cottages en briques offrent une meilleure protection contre les tremblements de terre, mais il est conseillé de construire des défenses supplémentaires.","Les résidences en briques offrent une meilleure protection contre les séismes, mais il est recommandé de leur adjoindre des défenses supplémentaires.",0.80
fr,old house,Maison ancienne,Vieille maison,0.41
fr,old buildings require upgrades to stand a chance of survival,Les bâtiments anciens nécessitent des améliorations pour avoir une chance de survie.,Les vieux bâtiments doivent être remis en état pour avoir une chance de résister.,0.65
fr,old town house,Maison de la vieille ville,Vieille maison de ville,0.61
fr,old buildings require upgrades to stand a chance of survival,Les bâtiments anciens nécessitent des améliorations pour avoir une chance de survie.,Les vieux bâtiments doivent être remis en état pour avoir une chance de résister.,0.65
fr,old terraced house,ancienne maison mitoyenne,Ancienne bande de terrain en terrasse,0.52
fr,old buildings require upgrades to stand a chance of survival,Les bâtiments anciens nécessitent des améliorations pour avoir une chance de survie.,Les vieux bâtiments doivent être remis en état pour avoir une chance de résister.,0.65
fr,new buildings with quality construction and additional upgrades such as firm foundations have a much better survival rate than older buildings,Construction de qualité,"Les nouveaux bâtiments, grâce à une construction de qualité et des améliorations telles que de solides fondations, ont plus de chance de résister que les bâtiments plus anciens.",0.23
fr,large house,maison de grande taille,Grande maison,0.50
fr,new buildings with quality construction and additional upgrades such as firm foundations have a much better survival rate than older buildings,Construction de qualité,"Les nouveaux bâtiments, grâce à une construction de qualité et des améliorations telles que de solides fondations, ont plus de chance de résister que les bâtiments plus anciens.",0.23
fr,apartments hold a large number of people so should be well constructed and protected,immeuble d'appartements,Les appartements accueillent un plus grand nombre de personnes. Aussi doivent-ils être bien construits et bien protégés.,0.22
fr,a church can be upgraded like any other building,Une église peut être mise à niveau comme n'importe quel autre bâtiment.,Une église peut être améliorée comme n'importe quel autre bâtiment.,0.90
fr,superior quality with modern fittings and furnishings but very expensive,de luxe,De qualité supérieure et doté d'équipements et de mobilier modernes mais très chers.,0.13
fr,pylons carry electricity to nearby buildings,pylônes,Les pylônes transportent l'électricité vers les bâtiments avoisinants.,0.19
fr,commercial block,Bloc commercial,Centre commercial,0.75
fr,commercial blocks hold many people and are important to the local economy so must be adequately protected,bloc commercial,Les centres commerciaux accueillent beaucoup de gens et sont importants pour l'économie locale. Ils doivent donc être suffisamment protégés.,0.17
fr,power stations provide electricity to all houses in the area so it is an important community resource to be protected,centrale électrique,"Les centrales électriques fournissent de l'électricité à toutes les maisons de la région, ce qui en fait une ressource communautaire importante à protéger.",0.22
fr,this mediterranean city is in a region affected by earthquakes the city has a population of population people who rely on agriculture service activities and tourism for their livelihoods you have to protect as many people buildings and livelihoods as you can against a possible earthquake…,"Cette ville méditerranéenne se trouve dans une région sujette aux tremblements de terre. La ville compte {{POPULATION}} habitants qui dépendent de l'agriculture, des services et du tourisme pour leurs moyens de subsistance. Vous devez protéger autant de personnes, de bâtiments et de moyens de subsistance que possible contre un éventuel tremblement de terre…","Cette ville méditerranéenne se situe dans une région propice aux tremblements de terre. La ville compte {{POPULATION}} habitants qui vivent de l'agriculture, des activités de services et du tourisme. Vous devez protéger autant de personnes, de bâtiments et de moyens de subsistance que possible d'une menace de tremblement de terre.",0.53
fr,your challenge is to provide accommodation to target people build hospitals hospital and schools school there is also a need to retrofit at least 10 old buildings for more safety,reconstruction post-catastrophe,"Votre mission: héberger {{TARGET}} personnes, construire {{HOSPITALS}} {{HOSPITAL}} et {{SCHOOLS}} {{SCHOOL}}. Vous devez également remettre en état au moins 10 bâtiments anciens pour plus de sécurité.",0.18
fr,think about what you can do to better protect people and their properties against earthquakes you have a choice of housing and also many upgrades and defences are available choose the best options and save as many people as you can…,rétrofit sismique,Réfléchissez à ce que vous pouvez faire pour protéger les personnes et leurs biens contre un tremblement de terre. Vous avez le choix entre différents types d'hébergement et de nombreuses possibilités d'amélioration et de défenses. Choisissez les meilleures options et sauvez autant de personnes que vous pouvez.,0.03
fr,you have a budget of budget and around time minutes to work an earthquake will strike and then it will be too late good luck,Vous avez un budget de ${{BUDGET}} et environ {{TIME}} minutes pour travailler. Un tremblement de terre se produira et il sera alors trop tard. Bonne chance!,"Vous disposez d'un budget de ${{BUDGET}} et de {{TIME}} minutes environ pour travailler. Un tremblement de terre est imminent et ensuite, il sera trop tard. Bonne chance !",0.81
fr,crowded locations of poorly constructed buildings with high occupancy increase the vulnerability of people to earthquakes collapsing buildings kill most people during earthquakes,Vulnérabilité sismique urbaine,Les habitations surpeuplées ou les bâtiments mal construits à fort taux d'occupation augmentent la vulnérabilité des personnes lors des tremblements de terre. L'effondrement d'immeubles entraîne le plus grand nombre de victimes pendant un tremblement de terre.,0.10
fr,it is important to consider local soil and geographical conditions like slopes when constructing buildings to protect them better from possible earthquakes or landslides remember to use the risk map to help identify areas most prone to earthquake dangers,Évaluation du risque sismique,"Il est important de prendre en considération la nature du terrain et les conditions géographiques telles que les pentes lors de la construction des bâtiments, afin de mieux les protéger en cas de séisme ou de glissement de terrain. Pensez à utiliser la carte des risques pour vous aider à identifier les zones les plus propices aux tremblements de terre.",0.01
fr,residential structures constructed with heavy roofs poor foundations made of poor quality or constructed only with earth rubble and unreinforced cement or adobe blocks are more vulnerable to damage,Bâtiment en maçonnerie non armée,"Les structures résidentielles comportant de lourdes toitures, de faibles fondations, construites avec des matériaux de mauvaise qualité ou seulement avec de la terre, des déblais, en béton non armé ou encore en briques d'argile, sont les plus susceptibles d'être endommagées.",0.00
